Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
芝加哥千禧公园,gemini,context,Direct,19,79.17%,2025-12-26T04:18:54.354126,87.50%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,gemini,graph,Direct,16,66.67%,2025-12-26T04:40:44.757540,87.50%,75.00%,50.00%,0.00%,100.00%
芝加哥千禧公园,gemini,map,Direct,11,45.83%,2025-12-26T04:57:59.843478,25.00%,50.00%,75.00%,0.00%,100.00%
芝加哥千禧公园,openai,context,Direct,15,62.50%,2025-12-26T04:58:56.163250,50.00%,100.00%,75.00%,25.00%,75.00%
芝加哥千禧公园,openai,graph,Direct,7,29.17%,2025-12-26T04:59:47.631454,0.00%,25.00%,50.00%,0.00%,100.00%
芝加哥千禧公园,openai,map,Direct,8,33.33%,2025-12-26T05:00:44.115782,25.00%,25.00%,25.00%,25.00%,75.00%
芝加哥千禧公园,qwen,context,Direct,15,62.50%,2025-12-26T05:01:15.205103,50.00%,100.00%,75.00%,25.00%,75.00%
芝加哥千禧公园,qwen,graph,Direct,10,41.67%,2025-12-26T05:01:44.838508,0.00%,100.00%,25.00%,50.00%,75.00%
芝加哥千禧公园,qwen,map,Direct,17,70.83%,2025-12-26T05:02:15.866589,50.00%,100.00%,100.00%,25.00%,100.00%
长沙五一广场,claude,context,Direct,20,83.33%,2025-12-26T05:03:58.425217,100.00%,75.00%,100.00%,25.00%,100.00%
长沙五一广场,claude,graph,Direct,15,62.50%,2025-12-26T05:08:02.234606,62.50%,50.00%,75.00%,25.00%,100.00%
长沙五一广场,claude,map,Direct,14,58.33%,2025-12-26T05:09:26.826384,62.50%,25.00%,75.00%,50.00%,75.00%
长沙五一广场,deepseek,context,Direct,14,58.33%,2025-12-26T05:15:32.450217,50.00%,75.00%,75.00%,25.00%,75.00%
长沙五一广场,deepseek,graph,Direct,9,37.50%,2025-12-26T05:16:37.083109,37.50%,0.00%,25.00%,25.00%,100.00%
长沙五一广场,deepseek,map,Direct,15,62.50%,2025-12-26T05:17:41.178482,37.50%,75.00%,75.00%,50.00%,100.00%
长沙五一广场,gemini,context,Direct,24,100.00%,2025-12-26T05:29:31.903832,100.00%,100.00%,100.00%,100.00%,100.00%
长沙五一广场,gemini,graph,Direct,20,83.33%,2025-12-26T05:49:13.913286,87.50%,75.00%,100.00%,50.00%,100.00%
长沙五一广场,gemini,map,Direct,22,91.67%,2025-12-26T06:03:55.593199,100.00%,75.00%,75.00%,100.00%,100.00%
长沙五一广场,openai,context,Direct,20,83.33%,2025-12-26T06:04:51.603398,100.00%,75.00%,75.00%,50.00%,100.00%
长沙五一广场,openai,graph,Direct,11,45.83%,2025-12-26T06:05:43.996648,37.50%,50.00%,25.00%,25.00%,100.00%
长沙五一广场,openai,map,Direct,20,83.33%,2025-12-26T06:06:34.404273,100.00%,75.00%,75.00%,50.00%,100.00%
长沙五一广场,qwen,context,Direct,16,66.67%,2025-12-26T06:07:06.960642,75.00%,75.00%,75.00%,0.00%,100.00%
长沙五一广场,qwen,graph,Direct,11,45.83%,2025-12-26T06:07:37.216072,25.00%,50.00%,25.00%,50.00%,100.00%
长沙五一广场,qwen,map,Direct,15,62.50%,2025-12-26T06:08:09.339387,62.50%,25.00%,75.00%,75.00%,75.00%

